股票代號,公司名稱,終止上櫃日期
6554,中美冠科生物技術股份有限公司,2018-05-31,本中心證券商營業處所買賣有價證券業務規則第15條之18
5491,連展科技股份有限公司,2017-12-29,依企業併購法轉換為連展投控(3710)之子公司
3662,樂陞科技股份有限公司,2017-10-19,依本中心業務規則第12條之2
6105,瑞傳科技股份有限公司,2017-10-17,依本中心業務規則第15條之18
6024,群益期貨股份有限公司,2017-10-16,依本中心業務規則第12條之2第1項第1款
3553,力積電子股份有限公司,2017-10-01,依本中心業務規則第15條之18
4739,康普材料科技股份有限公司,2017-09-08,依據本中心業務規則第12條之2第1項第1款
5384,捷元股份有限公司,2017-09-01,依本中心業務規則第15條之12、14、15及16規定
6022,大眾綜合證券股份有限公司,2017-08-28,依本中心業務規則第15條之7
4762,三汰控股(開曼)股份有限公司,2017-08-01,經該公司股東會決議向本中心申請終止有價證券櫃檯買賣
5284,經寶精密控股股份有限公司,2017-03-09,依據本中心業務規則第12條之2第1項第1款
5395,圓方創新股份有限公司,2017-02-18,依本中心業務規則第12條之2第1項第12款第1目
2636,台驊國際投資控股股份有限公司,2016-12-22,依本中心業務規則第12條之2第1項第1款
3658,漢民微測科技股份有限公司,2016-11-22,依本中心業務規則第15條之18
8266,中日新科技股份有限公司,2016-11-15,依業務規則第15條之18
3291,遠翔科技股份有限公司,2016-10-06,依本中心業務規則第15條之12
8082,漢承泰企業股份有限公司,2016-09-26,依本中心業務規則第12條之2第1項第7款
8079,誠遠科技股份有限公司,2016-09-01,依本中心業務規則第15條之18
8925,偉盟工業股份有限公司,2016-06-27,依本中心業務規則第12條之2第1項第5款、第12款第1目
6250,宇加科技股份有限公司,2016-05-25,依本中心業務規則第12條之1及第12條之2
3528,安馳科技股份有限公司,2016-05-18,依本中心業務規則第12條之2第1項第1款
8053,巨擘科技股份有限公司,2016-05-11,符合本中心業務規則第12條之2第1項第4款
3126,信億科技股份有限公司,2016-04-06,依本中心業務規則第12條之2第1項第12款第1目
4703,揚華科技股份有限公司,2016-03-30,符合本中心業務規則第12條之2第1項第12款第1目
