股票代號,公司名稱,終止上櫃日期
6102,偉訓科技,2002-08-26,
6106,信邦電子,2002-08-26,
5449,今皓實業,2002-07-22,
5453,華立企業,2002-07-22,
5448,維迪,2002-06-20,
5518,大日開發科技,2002-05-20,
6001,建弘證券,2002-05-09,
6018,新寶綜合證券,2002-04-01,
5602,長榮貨櫃,2002-03-25,
5817,日盛國際商業銀行,2002-02-05,
6014,日盛證券,2002-02-05,
5819,玉山票券金融,2002-01-28,
5332,旭龍精密工業,2002-01-24,
5502,龍田建設,2002-01-24,
8006,歐格電子工業,2002-01-23,
6009,永昌綜合證券,2001-12-19,
6007,富邦綜合證券,2001-12-19,
5504,信南建設,2001-12-19,
5513,德利開發科技,2001-12-03,
8711,大穎企業,2001-11-14,依本中心業務規則第13條之1第1項第4款規定
8717,瑞圓纖維,2001-10-22,依本中心業務規則第13條之1第1項第7款規定
5503,榮美開發科技,2001-10-15,
5412,華經資訊企業,2001-09-17,
5413,皇統光碟科技,2001-09-17,
5415,飛宏企業,2001-09-17,
5416,建通精密工業,2001-09-17,
5417,光群雷射科技,2001-09-17,
5418,敦陽科技,2001-09-17,
5419,連宇,2001-09-17,
5420,冠西電子企業,2001-09-17,
5422,強茂,2001-09-17,
5427,美隆電器廠,2001-09-17,
5428,訊碟科技,2001-09-17,
5429,和立聯合科技,2001-09-17,
5430,中華映管,2001-09-17,
5431,一詮精密工業,2001-09-17,
5433,義隆電子,2001-09-17,
5435,立隆電子工業,2001-09-17,
5437,力信興業,2001-09-17,
5440,漢平電子工業,2001-09-17,
5444,鉅祥企業,2001-09-17,
5445,盟立自動化,2001-09-17,
5446,台灣良得電子,2001-09-17,
5606,長榮航空,2001-09-17,
8920,信義房屋仲介,2001-09-17,
8922,裕融企業,2001-09-17,
4101,五鼎生物技術,2001-09-17,
4204,宏亞食品,2001-09-17,
4515,新企工程,2001-09-17,
4524,中宇環保工程,2001-09-17,
4525,和大工業,2001-09-17,
4701,美吾華,2001-09-17,
4713,毛寶,2001-09-17,
4715,花仙子企業,2001-09-17,
5012,允強實業,2001-09-17,
5335,華新科技,2001-09-17,
5378,友立資訊,2001-09-17,
5379,資通電腦,2001-09-17,
5389,麗臺科技,2001-09-17,
5394,百容電子,2001-09-17,
5396,大毅科技,2001-09-17,
5397,志聖工業,2001-09-17,
5399,敦吉科技,2001-09-17,
5402,研揚科技,2001-09-17,
5405,瑞軒科技,2001-09-17,
5406,思源科技,2001-09-17,
5407,品佳,2001-09-17,
5408,可成科技,2001-09-17,
5409,兆赫電子,2001-09-17,
5411,希華晶體科技,2001-09-17,
4403,東榮纖維工業,2001-09-03,
5441,聯友光電,2001-08-24,
5333,佳茂,2001-07-26,
8706,金緯纖維,2001-07-10,依本中心業務規則第13條之1第1項第7款規定
5008,長銘實業,2001-06-12,
8716,尖美建設開發,2001-05-29,依本中心業務規則第13條之1第1項第12款規定
8910,五洲製革,2001-04-25,
5526,昆泰營造廠,2001-04-25,
5313,皇旗資訊,2001-01-08,
5343,矽豐,2000-12-21,
8715,中強電子,2000-12-19,依本中心業務規則第13條之1第1項第12款規定
4412,弘裕,2000-10-31,
4405,本盟紡織,2000-10-27,
5322,偉詮,2000-09-11,
4301,永裕,2000-09-11,
4302,地球,2000-09-11,
4407,三洋紡織,2000-09-11,
5319,英誌,2000-09-11,
5341,承啟,2000-09-11,
5342,精技,2000-09-11,
5352,雅新,2000-09-11,
4409,恆大,2000-09-11,
4410,台南企業,2000-09-11,
4504,勤美,2000-09-11,
4507,錩新,2000-09-11,
4512,恩德,2000-09-11,
4514,樂士,2000-09-11,
4517,亞崴,2000-09-11,
4521,高林,2000-09-11,
4603,燦坤,2000-09-11,
4604,億泰,2000-09-11,
4607,榮星,2000-09-11,
4608,合機電線電纜,2000-09-11,
4705,元禎,2000-09-11,
4708,永記,2000-09-11,
4709,台灣中華化學,2000-09-11,
5003,新鋼,2000-09-11,
5004,新光鋼鐵,2000-09-11,
5005,佳大,2000-09-11,
4201,興泰,2000-09-11,
5323,聯昌,2000-09-11,
5327,圓剛科技,2000-09-11,
5337,隴華,2000-09-11,
5357,美律實業,2000-09-11,
5358,建準,2000-09-11,
5359,環隆,2000-09-11,
5360,統懋,2000-09-11,
5361,仲琦,2000-09-11,
5362,鼎元光電,2000-09-11,
5365,世平,2000-09-11,
5367,國聯光電,2000-09-11,
5368,旺詮,2000-09-11,
5370,台灣電路,2000-09-11,
5374,固緯,2000-09-11,
5377,興勤,2000-09-11,
5380,永兆精密,2000-09-11,
5382,三商電腦,2000-09-11,
5390,倚天,2000-09-11,
5311,新巨,2000-09-11,
5391,互盛,2000-09-11,
5509,根基營造,2000-09-11,
5517,皇翔,2000-09-11,
8903,全國加油站,2000-09-11,
8911,欣錩國際,2000-09-11,
8915,慶豐富,2000-09-11,
8918,成霖,2000-09-11,
8704,大業綜合工業,2000-07-31,依本中心業務規則第13條之1第1項第11款規定
6013,京華證券,2000-06-23,
4519,鑽全,2000-06-21,
5901,華豐橡膠,2000-05-08,
4606,大山,2000-03-30,
8914,欣高石油氣,2000-03-21,
5366,浩鑫,2000-03-17,
4509,漢唐訊聯,2000-03-14,
4411,首利實業,2000-03-06,
5002,住聯工業,2000-02-22,
5330,凌陽科技,2000-01-27,
5507,易欣技術工程,1999-12-27,轉列管理股票
8907,三粹企業,1999-12-27,
5369,映泰,1999-12-16,
5510,昌益建設,1999-12-15,
5350,精碟科技,1999-11-29,
5334,億光電子,1999-11-04,
5373,普立爾,1999-10-27,
5813,安泰銀行,1999-09-27,
5338,合勤科技,1999-08-12,
8901,秋雨印刷,1999-06-28,
5316,云辰電子,1999-06-15,
4704,泰銘實業,1999-03-12,
5339,世昕企業,1999-03-04,
5815,大眾銀行,1999-02-04,
4203,天仁茶業,1999-01-20,
5808,中興銀行,1999-01-08,
5812,遠東銀行,1998-11-27,
5320,台光電子,1998-11-27,
4505,耿鼎企業,1998-10-30,
5331,瑞昱,1998-10-26,
5805,台新銀行,1998-10-20,
5809,亞太銀行,1998-10-16,
5329,鴻運電子,1998-10-14,
5816,富邦銀行,1998-10-01,
5806,玉山銀行,1998-08-19,
5814,華信銀行,1998-06-29,
5804,萬泰銀行,1998-06-29,
5807,聯邦銀行,1998-06-29,
4202,正義食品,1997-10-02,
4602,三洋電機,1997-09-18,
5811,中華銀行,1997-09-03,
5802,萬通銀行,1997-05-23,
5803,大安銀行,1997-05-23,
5308,藍天電腦,1997-04-02,
4501,利奇機械,1995-11-14,
5303,精業,1995-09-23,
2327,國巨,1993-10-22,
1225,福懋油脂,1993-09-27,
2326,亞瑟科技,1993-08-27,
2108,南帝化工,1992-10-27,
